transaction_id,product_id,customer_id,transaction_date,online_order,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date
284,44,2024,2017-10-03,1,WeareA2B,Standard,medium,medium,1769,108,2012-06-06
288,36,529,2017-11-20,1,Solex,Standard,low,medium,945,507,2006-02-04
291,38,2302,2017-11-07,0,Solex,Standard,medium,medium,1577,826,2011-05-11
292,64,3380,2017-10-28,0,Giant Bicycles,Standard,high,small,1977,1759,2015-06-19
293,0,314,2017-11-19,0,OHM Cycles,Standard,high,medium,227,136,2007-08-06
298,17,2860,2017-11-20,1,Solex,Standard,high,medium,1024,614,1996-11-11
303,48,1883,2017-11-18,0,WeareA2B,Standard,medium,medium,1762,950,2014-07-30
306,25,792,2017-12-13,0,OHM Cycles,Standard,high,medium,2005,1203,2015-10-20
309,68,3394,2017-11-27,0,OHM Cycles,Standard,medium,medium,1636,44,2010-08-22
310,75,3213,2017-10-21,0,Giant Bicycles,Touring,medium,large,1873,863,2004-07-27
312,1,1015,2017-12-04,0,Giant Bicycles,Standard,medium,medium,1403,954,2016-11-16
315,40,3118,2017-12-18,1,Trek Bicycles,Road,medium,large,1894,598,2003-07-23
319,65,1033,2017-10-09,1,WeareA2B,Standard,medium,medium,1807,778,2002-09-02
323,67,87,2017-11-08,1,Norco Bicycles,Road,medium,medium,544,376,2005-10-24
324,87,2049,2017-10-11,0,OHM Cycles,Standard,medium,medium,1636,44,2010-08-22
325,62,952,2017-11-14,1,Solex,Standard,medium,medium,478,298,1992-10-04
328,98,372,2017-10-17,1,Trek Bicycles,Standard,high,medium,358,215,1991-05-08
330,1,444,2017-11-15,0,Giant Bicycles,Standard,medium,medium,1403,954,2012-09-17
333,58,485,2017-12-16,1,OHM Cycles,Road,medium,medium,1280,829,2001-11-27
335,95,3103,2017-11-01,0,Giant Bicycles,Standard,medium,large,569,528,2003-09-12
336,55,506,2017-10-05,1,Trek Bicycles,Road,medium,large,1894,598,2003-07-23
339,65,2903,2017-12-04,1,WeareA2B,Standard,medium,medium,1807,778,2002-09-02
340,49,1274,2017-12-16,0,Trek Bicycles,Road,medium,medium,533,400,2012-06-06
349,100,2930,2017-10-20,1,Norco Bicycles,Road,medium,medium,1036,206,1991-05-08
350,27,2354,2017-10-26,1,Trek Bicycles,Standard,medium,medium,499,388,1999-06-25
354,83,533,2017-11-14,0,Solex,Touring,medium,large,2083,675,2013-09-18
358,6,3425,2017-12-06,1,OHM Cycles,Standard,high,medium,227,136,1991-11-09
359,10,1614,2017-11-10,1,Solex,Standard,medium,medium,1945,333,2002-09-02
377,7,2368,2017-10-17,0,Trek Bicycles,Road,low,medium,980,234,2004-09-30
378,53,470,2017-10-27,0,OHM Cycles,Standard,medium,medium,795,101,1997-02-11
382,83,309,2017-12-02,1,Solex,Touring,medium,large,2083,675,2015-08-04
383,39,1698,2017-11-28,1,Giant Bicycles,Standard,medium,large,1812,582,2011-05-11
386,13,892,2017-10-01,0,Solex,Standard,medium,medium,1163,589,2005-12-09
387,100,832,2017-10-15,1,Norco Bicycles,Road,medium,medium,1036,206,1991-05-08
391,86,3484,2017-10-12,0,Norco Bicycles,Road,high,large,774,464,1997-10-06
395,43,3195,2017-10-12,1,Solex,Standard,medium,medium,1151,649,1999-12-06
408,18,769,2017-12-11,0,Solex,Standard,medium,medium,575,431,2004-12-20
411,62,3355,2017-12-30,0,Solex,Standard,medium,medium,478,298,1993-06-25
415,76,2939,2017-10-01,1,WeareA2B,Standard,low,medium,642,513,1991-07-12
416,17,1035,2017-11-03,1,Solex,Standard,high,medium,1024,614,2016-02-06
417,73,492,2017-10-02,0,Solex,Standard,medium,medium,1945,333,2002-09-02
418,39,3100,2017-12-10,1,Giant Bicycles,Standard,medium,large,1812,582,2010-06-09
427,70,2850,2017-11-19,0,Trek Bicycles,Standard,high,medium,495,297,2014-10-12
428,62,2779,2017-11-30,1,Solex,Standard,medium,medium,478,298,1998-12-19
429,84,683,2017-12-15,0,Trek Bicycles,Road,medium,medium,290,215,2004-12-20
430,21,2342,2017-10-26,0,Solex,Standard,medium,large,1071,380,1996-04-07
433,39,2923,2017-12-17,1,Giant Bicycles,Standard,medium,large,1812,582,2007-12-13
439,33,2126,2017-12-05,1,Giant Bicycles,Standard,medium,small,1311,1167,2003-03-20
440,54,2702,2017-10-20,1,WeareA2B,Standard,medium,medium,1292,13,2015-10-20
445,65,850,2017-11-25,1,WeareA2B,Standard,medium,medium,1807,778,2015-05-23
451,29,1194,2017-12-02,1,Norco Bicycles,Road,medium,medium,543,407,2016-11-24
453,9,724,2017-11-22,0,OHM Cycles,Road,medium,medium,742,667,1993-06-25
457,100,290,2017-10-10,0,Norco Bicycles,Road,medium,medium,1036,206,1991-05-08
464,81,1422,2017-10-13,0,Norco Bicycles,Standard,medium,small,586,521,2004-08-09
467,59,1132,2017-10-15,0,Solex,Standard,medium,large,1061,733,1993-06-25
468,53,2363,2017-11-02,1,OHM Cycles,Standard,medium,medium,795,101,1993-07-22
469,12,1816,2017-10-11,0,WeareA2B,Standard,medium,medium,1231,161,2004-08-19
473,25,344,2017-11-11,0,OHM Cycles,Standard,high,medium,2005,1203,1993-07-22
474,18,1001,2017-10-07,1,Solex,Standard,medium,medium,575,431,2013-03-14
491,32,2676,2017-12-10,1,Giant Bicycles,Standard,medium,medium,642,211,1994-07-14
493,44,2623,2017-12-03,1,WeareA2B,Standard,medium,medium,1769,108,2006-02-04
494,92,1509,2017-11-16,1,WeareA2B,Touring,medium,large,1890,260,2015-06-19
496,0,661,2017-11-08,0,Norco Bicycles,Standard,low,medium,363,290,2005-05-12
497,62,1854,2017-12-30,1,Solex,Standard,high,medium,1024,614,1993-10-04
506,66,1853,2017-12-04,0,Giant Bicycles,Road,low,small,590,525,1995-10-26
512,62,1020,2017-10-02,1,Solex,Standard,medium,medium,478,298,1993-06-25
513,0,1052,2017-11-29,0,Trek Bicycles,Road,medium,medium,533,400,2012-06-06
515,53,3330,2017-11-18,0,OHM Cycles,Standard,medium,medium,795,101,2011-08-26
518,84,1996,2017-11-25,0,Trek Bicycles,Road,medium,medium,290,215,2004-12-20
519,77,997,2017-10-19,1,Norco Bicycles,Road,medium,large,1240,795,2015-08-12
532,77,1559,2017-10-15,1,WeareA2B,Standard,medium,medium,1769,108,2007-12-13
535,30,776,2017-10-28,1,OHM Cycles,Standard,medium,medium,1227,770,1994-08-12
536,36,1018,2017-12-03,1,Solex,Standard,low,medium,945,507,2008-03-21
543,45,246,2017-12-03,0,Trek Bicycles,Road,low,medium,980,234,2004-09-30
551,0,3382,2017-10-15,1,OHM Cycles,Standard,high,medium,227,136,2003-02-09
552,21,333,2017-11-30,1,Solex,Standard,medium,large,1071,380,1993-10-04
553,96,2826,2017-10-22,0,WeareA2B,Road,low,small,1172,1043,2002-10-12
564,45,1913,2017-11-18,1,Solex,Standard,medium,medium,441,84,2012-06-06
566,90,178,2017-11-28,0,Norco Bicycles,Standard,low,medium,363,290,2005-05-12
570,68,1396,2017-12-21,1,OHM Cycles,Standard,medium,medium,1636,44,2010-08-22
578,63,1579,2017-10-13,1,Solex,Standard,medium,medium,1483,99,2005-10-24
581,52,2618,2017-12-19,0,OHM Cycles,Road,medium,medium,1280,829,2001-11-27
589,7,854,2017-10-04,0,Trek Bicycles,Road,low,medium,980,234,1991-07-12
593,20,1399,2017-12-14,1,Trek Bicycles,Standard,medium,small,1775,1580,2010-05-07
599,45,1059,2017-12-08,1,Trek Bicycles,Road,low,medium,980,234,2004-08-19
601,76,1466,2017-11-27,1,WeareA2B,Road,low,small,1172,1043,1994-08-12
606,70,2878,2017-12-30,0,Trek Bicycles,Standard,high,medium,495,297,1999-07-28
610,85,3482,2017-10-20,0,WeareA2B,Standard,medium,medium,752,205,2000-11-05
611,85,368,2017-12-06,1,WeareA2B,Standard,medium,medium,1228,400,2000-05-24
622,89,3097,2017-10-14,0,WeareA2B,Touring,medium,large,1362,57,2005-05-12
630,92,2853,2017-10-10,1,WeareA2B,Touring,medium,large,1890,260,1991-01-23
631,3,818,2017-11-20,0,Trek Bicycles,Standard,medium,large,2091,388,2012-09-17
641,93,757,2017-10-19,0,WeareA2B,Standard,medium,medium,1065,230,2000-11-05
646,3,2590,2017-10-12,0,Trek Bicycles,Standard,medium,large,2091,388,1999-12-06
648,84,485,2017-10-16,1,Giant Bicycles,Road,medium,medium,792,594,1992-10-04
649,53,606,2017-11-01,0,OHM Cycles,Standard,medium,medium,795,101,1997-02-11
652,4,1739,2017-10-23,1,Giant Bicycles,Standard,high,medium,1129,677,2005-08-11
656,26,3470,2017-12-28,0,WeareA2B,Standard,medium,medium,1992,762,2015-08-04
660,87,2814,2017-12-17,0,OHM Cycles,Standard,medium,medium,1636,44,2010-08-22
665,35,759,2017-10-09,1,Giant Bicycles,Standard,medium,medium,1403,954,2016-11-16
674,69,1618,2017-12-02,1,Giant Bicycles,Road,medium,medium,792,594,1992-10-04
679,74,693,2017-12-20,1,WeareA2B,Standard,medium,medium,1228,400,2004-07-27
681,75,3085,2017-12-05,1,Giant Bicycles,Touring,medium,large,1873,863,2006-05-24
683,73,2095,2017-12-10,0,Solex,Standard,medium,medium,1945,333,2002-09-02
684,99,1289,2017-12-19,0,OHM Cycles,Standard,medium,medium,1227,770,1994-08-12
689,88,2310,2017-12-13,1,Norco Bicycles,Standard,high,small,1661,1479,2010-05-07
690,15,1371,2017-11-18,0,Norco Bicycles,Standard,low,medium,958,748,1993-07-17
695,78,1282,2017-11-22,0,Giant Bicycles,Standard,medium,large,1765,709,1991-07-12
697,29,2285,2017-11-21,0,WeareA2B,Standard,medium,medium,1065,230,2000-11-05
701,51,2477,2017-11-20,0,OHM Cycles,Standard,high,medium,2005,1203,1997-10-06
703,24,211,2017-10-02,1,Solex,Road,medium,large,1777,820,1991-08-07
718,13,2618,2017-11-16,0,Solex,Standard,medium,medium,1163,589,2016-07-11
719,95,1753,2017-12-03,0,OHM Cycles,Touring,low,medium,1073,933,2015-08-12
720,0,1480,2017-10-16,1,Trek Bicycles,Standard,high,medium,495,297,2006-05-24
721,5,364,2017-12-19,0,Trek Bicycles,Mountain,low,medium,574,459,2011-08-31
725,29,2839,2017-12-13,1,Norco Bicycles,Road,medium,medium,543,407,2016-11-24
727,94,3486,2017-12-09,0,Giant Bicycles,Standard,medium,large,1635,993,2013-06-11
728,14,3048,2017-10-09,1,Trek Bicycles,Standard,medium,small,1386,1234,2003-08-07
732,35,1644,2017-12-08,0,Trek Bicycles,Standard,low,medium,1057,154,1994-07-14
741,56,1340,2017-12-02,1,Norco Bicycles,Mountain,low,small,688,612,1993-10-04
742,0,2419,2017-11-09,0,Norco Bicycles,Road,medium,medium,543,407,2016-11-24
745,69,255,2017-11-03,0,Giant Bicycles,Road,medium,medium,792,594,1992-10-04
748,80,2865,2017-12-30,1,Trek Bicycles,Standard,medium,large,1469,596,2012-05-20
750,75,2195,2017-12-28,0,Giant Bicycles,Touring,medium,large,1873,863,1991-07-12
752,59,1881,2017-10-29,1,Solex,Standard,medium,large,1061,733,2011-08-26
758,94,3278,2017-11-09,1,Giant Bicycles,Standard,medium,large,1635,993,2013-06-11
763,44,1084,2017-12-10,0,WeareA2B,Standard,medium,medium,1769,108,2011-05-11
768,81,2810,2017-10-15,0,Norco Bicycles,Standard,medium,small,586,521,1993-04-22
774,12,3402,2017-10-06,0,WeareA2B,Standard,medium,medium,1231,161,2004-08-19
778,90,1580,2017-11-05,0,Solex,Standard,low,medium,945,507,1995-12-21
780,94,1608,2017-10-01,0,Giant Bicycles,Standard,medium,large,1635,993,2004-01-18
784,81,2755,2017-11-05,1,Norco Bicycles,Standard,medium,small,586,521,2013-09-18
794,71,1030,2017-11-20,1,Solex,Standard,high,large,1842,1105,1995-10-26
796,71,1411,2017-10-15,0,Solex,Standard,high,large,1842,1105,1995-10-26
798,3,729,2017-11-06,1,Trek Bicycles,Standard,medium,large,2091,388,2011-05-09
799,3,2508,2017-11-04,1,Trek Bicycles,Standard,medium,large,2091,388,2010-06-09
801,21,1432,2017-10-09,0,WeareA2B,Touring,medium,medium,1466,363,2005-12-09
802,36,772,2017-12-28,0,Solex,Standard,low,medium,945,507,1995-12-21
808,99,2158,2017-11-10,0,OHM Cycles,Standard,medium,medium,1227,770,1994-08-12
815,22,3421,2017-10-19,1,WeareA2B,Standard,medium,medium,60,45,2016-11-24
820,32,3467,2017-10-08,0,Giant Bicycles,Standard,medium,medium,642,211,2002-03-24
830,82,2509,2017-11-08,1,Norco Bicycles,Standard,high,medium,1148,689,2015-08-12
834,88,1893,2017-10-23,0,Norco Bicycles,Standard,medium,medium,1198,381,1998-12-18
835,18,1477,2017-11-17,0,Solex,Standard,medium,medium,575,431,1993-07-17
836,46,40,2017-12-16,0,Solex,Standard,low,medium,1289,74,2007-12-13
838,85,2288,2017-10-20,0,WeareA2B,Standard,medium,medium,1228,400,2000-05-24
840,30,3263,2017-12-07,1,Solex,Standard,high,medium,748,448,1991-11-12
851,0,3086,2017-12-12,1,Norco Bicycles,Standard,medium,medium,360,270,2016-12-08
866,87,79,2017-11-13,0,Giant Bicycles,Standard,high,medium,1179,707,1997-08-27
871,38,3488,2017-10-22,0,Solex,Standard,medium,medium,1577,826,1997-05-12
875,86,178,2017-10-21,1,OHM Cycles,Standard,medium,medium,235,125,2004-08-09
877,7,1082,2017-11-13,1,Trek Bicycles,Road,low,medium,980,234,2005-12-09
879,3,2101,2017-11-09,1,Trek Bicycles,Standard,medium,large,2091,388,1991-01-23
881,43,1770,2017-11-20,0,Solex,Standard,medium,medium,1151,649,1999-12-06
887,41,2448,2017-10-14,0,Norco Bicycles,Standard,low,medium,958,748,2005-12-09
888,55,461,2017-12-10,1,Trek Bicycles,Road,medium,large,1894,598,2015-10-20
893,66,1978,2017-12-17,0,Giant Bicycles,Road,low,small,590,525,2010-11-07
897,46,1935,2017-10-02,1,Solex,Standard,low,medium,1289,74,2007-12-13
905,2,405,2017-10-12,0,Giant Bicycles,Road,low,small,590,525,1992-10-04
907,5,2684,2017-10-16,1,Trek Bicycles,Mountain,low,medium,574,459,1991-11-09
910,84,3285,2017-12-11,1,Trek Bicycles,Road,medium,medium,290,215,2015-08-04
914,85,2537,2017-10-29,1,WeareA2B,Standard,medium,medium,752,205,2003-01-07
917,53,224,2017-11-15,1,OHM Cycles,Standard,medium,medium,795,101,1997-02-11
921,53,2734,2017-10-19,1,Giant Bicycles,Standard,high,medium,1274,764,2007-08-06
928,80,1363,2017-10-04,1,OHM Cycles,Touring,low,medium,1073,933,1997-01-27
929,24,2599,2017-11-07,1,Solex,Road,medium,large,1777,820,2011-05-09
930,0,907,2017-12-04,0,WeareA2B,Standard,medium,small,175,131,1997-02-11
938,56,1478,2017-12-11,1,Norco Bicycles,Mountain,low,small,688,612,1993-10-04
942,11,2505,2017-12-18,1,Trek Bicycles,Standard,medium,small,1775,1580,2010-05-07
950,21,175,2017-10-16,0,Solex,Standard,medium,large,1071,380,1996-04-07
958,15,233,2017-12-13,1,Norco Bicycles,Standard,low,medium,958,748,2005-12-09
961,40,2924,2017-10-27,1,OHM Cycles,Standard,high,medium,1458,874,2006-10-03
963,52,43,2017-10-30,1,OHM Cycles,Road,medium,medium,1280,829,2001-11-27
965,50,82,2017-10-13,0,Giant Bicycles,Standard,medium,medium,642,211,2002-03-24
966,41,636,2017-11-30,1,Solex,Road,medium,medium,416,312,1997-05-12
971,23,3273,2017-10-26,0,Norco Bicycles,Mountain,low,small,688,612,1993-04-14
972,5,316,2017-12-17,1,Trek Bicycles,Mountain,low,medium,574,459,2003-02-09
974,39,2860,2017-12-01,0,Giant Bicycles,Standard,medium,large,1812,582,2010-06-09
978,0,2210,2017-11-11,0,Norco Bicycles,Standard,low,medium,363,290,2005-05-12
981,10,2195,2017-10-23,1,WeareA2B,Touring,medium,medium,1466,363,1996-11-11
983,21,729,2017-12-29,0,Solex,Standard,medium,large,1071,380,1991-11-12
987,37,2627,2017-11-27,1,OHM Cycles,Standard,low,medium,1793,248,2008-03-21
988,28,1193,2017-11-24,1,Solex,Road,medium,small,1703,1516,2011-04-18
994,53,640,2017-11-13,0,Giant Bicycles,Standard,high,medium,1274,764,2004-08-19
995,3,1558,2017-10-05,0,Trek Bicycles,Standard,medium,large,2091,388,2006-05-24
999,74,2217,2017-11-18,1,WeareA2B,Standard,medium,medium,1228,400,2000-05-24
1000,79,2492,2017-10-15,1,Solex,Touring,medium,large,2083,675,2013-09-18
1001,33,452,2017-12-06,1,Giant Bicycles,Standard,medium,small,1311,1167,2011-03-18
1002,52,906,2017-12-14,0,Solex,Road,medium,large,1777,820,1991-08-07
1007,53,1617,2017-12-04,0,OHM Cycles,Standard,medium,medium,795,101,1997-02-11
1015,35,2369,2017-12-29,1,Trek Bicycles,Standard,low,medium,1057,154,2008-03-21
1018,43,1910,2017-12-13,0,Norco Bicycles,Standard,medium,medium,1555,818,2004-08-09
1022,44,2401,2017-12-08,1,WeareA2B,Standard,medium,medium,1769,108,2011-05-11
1023,23,1395,2017-10-04,1,Norco Bicycles,Standard,medium,medium,1198,381,2000-11-05
1025,45,2826,2017-10-25,0,Solex,Standard,medium,medium,441,84,1993-04-14
1030,49,2438,2017-12-03,0,Trek Bicycles,Road,medium,medium,533,400,1997-02-11
1032,11,818,2017-10-25,1,Giant Bicycles,Standard,high,medium,1274,764,2007-08-06
1033,49,934,2017-12-30,0,Trek Bicycles,Road,medium,medium,533,400,1997-10-06
1037,81,2100,2017-12-12,0,Norco Bicycles,Standard,medium,small,586,521,1991-07-12
1041,30,1607,2017-12-29,0,Solex,Standard,high,medium,748,448,2003-03-20
1043,9,2839,2017-10-20,0,OHM Cycles,Road,medium,medium,742,667,1991-11-09
1045,15,3324,2017-11-29,0,Norco Bicycles,Standard,low,medium,958,748,1993-10-04
1052,66,2775,2017-12-18,1,Giant Bicycles,Road,low,small,590,525,2016-12-08
1053,35,1880,2017-10-24,0,Giant Bicycles,Standard,medium,medium,1403,954,2016-11-16
1054,77,1129,2017-12-04,1,Norco Bicycles,Road,medium,large,1240,795,1991-07-12
1055,40,2498,2017-12-23,1,Trek Bicycles,Road,medium,large,1894,598,2003-07-23
1064,38,2977,2017-10-04,1,Solex,Standard,medium,medium,1577,826,2011-03-18
1067,19,1071,2017-11-07,0,Trek Bicycles,Mountain,low,medium,574,459,2011-08-31
1068,96,2215,2017-12-11,1,WeareA2B,Road,low,small,1172,1043,2004-01-18
1085,43,1681,2017-12-12,0,Norco Bicycles,Standard,medium,medium,1555,818,2013-09-18
1086,9,2711,2017-10-11,1,OHM Cycles,Road,medium,medium,742,667,1991-11-09
1087,7,806,2017-10-21,1,Trek Bicycles,Road,low,medium,980,234,2005-12-09
1092,92,3395,2017-12-21,0,WeareA2B,Standard,medium,small,1415,1259,2003-01-07
1103,1,354,2017-10-24,1,Giant Bicycles,Standard,medium,medium,1403,954,2016-11-16
1113,85,990,2017-12-19,1,WeareA2B,Standard,medium,medium,752,205,1997-08-27
1117,14,1634,2017-12-01,0,Trek Bicycles,Standard,medium,small,1386,1234,2003-08-07
1126,0,2597,2017-12-25,0,Solex,Road,medium,medium,416,312,2012-06-06
1130,0,230,2017-10-23,0,OHM Cycles,Standard,medium,medium,183,137,1997-10-06
1136,66,1456,2017-12-22,0,Giant Bicycles,Road,low,small,590,525,1995-10-26
1145,25,3146,2017-10-18,1,Giant Bicycles,Road,medium,medium,1538,829,2011-01-12
1148,1,1671,2017-11-14,0,Giant Bicycles,Standard,medium,medium,1403,954,2016-11-16
1152,40,2772,2017-10-18,1,OHM Cycles,Standard,high,medium,1458,874,1999-12-06
1154,40,970,2017-11-27,1,Trek Bicycles,Road,medium,large,1894,598,2003-07-23
1159,0,1237,2017-11-11,1,Solex,Standard,medium,medium,71,53,2012-12-04
1165,88,3045,2017-10-01,1,Norco Bicycles,Standard,medium,medium,1198,381,2002-10-12
1180,2,145,2017-11-24,0,Solex,Standard,medium,medium,71,53,2012-12-04
1184,35,629,2017-10-23,0,Giant Bicycles,Standard,medium,medium,1403,954,2016-11-16
1190,0,1405,2017-11-05,0,Solex,Standard,medium,medium,71,53,2011-08-31
1192,55,3157,2017-10-31,0,Trek Bicycles,Road,medium,large,1894,598,1991-01-23
1205,44,2386,2017-11-22,0,WeareA2B,Standard,medium,medium,1769,108,2011-05-11
1208,34,3052,2017-11-06,1,Norco Bicycles,Road,high,large,774,464,2003-03-20
1209,95,1731,2017-11-17,0,OHM Cycles,Touring,low,medium,1073,933,2004-08-09
1211,77,2719,2017-12-20,0,Norco Bicycles,Road,medium,large,1240,795,2011-01-12
1214,0,215,2017-10-09,0,OHM Cycles,Standard,medium,medium,183,137,2015-06-19
1218,15,1669,2017-11-01,0,WeareA2B,Standard,medium,medium,1292,13,2011-08-26
1222,93,1519,2017-10-09,0,OHM Cycles,Standard,high,medium,1458,874,1997-05-12
1225,79,3294,2017-10-29,1,Norco Bicycles,Standard,medium,medium,1555,818,2003-09-11
1237,35,259,2017-12-03,1,Giant Bicycles,Standard,medium,medium,1403,954,2016-11-16
1241,40,2538,2017-10-25,1,Trek Bicycles,Road,medium,large,1894,598,1993-06-25
1245,28,1120,2017-10-28,0,Norco Bicycles,Standard,medium,small,1216,1082,1991-08-07
1256,52,1428,2017-12-06,0,Solex,Road,medium,large,1777,820,2011-05-09
